1	218347.24	4317066.58
2	218350.01	4317046.08
3	218348.76	4317046.22
4	218333.35	4317048.15
5	218330.40	4317033.40
6	218334.65	4317031.92
7	218335.69	4317031.70
8	218333.15	4317025.42
9	218329.96	4317017.63
10	218322.27	4317023.29
11	218321.76	4317027.79
12	218321.50	4317030.11
13	218320.87	4317039.23
14	218320.07	4317044.51
15	218309.33	4317044.92
16	218305.91	4317044.69
17	218302.13	4317043.90
18	218300.95	4317043.63
19	218291.57	4317040.12
20	218287.68	4317038.90
21	218278.98	4317064.53
22	218310.42	4317074.48
23	218311.52	4317070.96
24	218347.24	4317066.58
